,all,clonal,nonclonal,clonal_cells_with_beta|alpha,clonal_cells_without_beta|alpha,nonclonal_cells_with_beta|alpha,nonclonal_cells_without_beta|alpha,fisher_pvalue_equal
WaG_SE_nonclonal,84,2,22,2,0,7,8,0.47058823529411714
WaG_BLC_nonclonal,74,1,17,1,0,8,1,1.0
SchH_SE_nonclonal,58,10,22,6,0,6,2,0.47252747252747207
SchH_SL_nonclonal,53,4,7,4,0,3,1,1.0
FrK_SE_nonclonal,74,14,13,11,0,5,1,0.35294117647058837
FrK_SL_nonclonal,76,19,28,16,0,18,1,1.0
FrK_BL_nonclonal,73,9,19,9,0,9,2,0.4789473684210518
WaG_nonclonal,158,3,39,3,0,15,9,0.5292307692307698
FrK_nonclonal,223,42,60,36,0,32,4,0.11451316595223551
SchH_nonclonal,111,14,29,10,0,9,3,0.22077922077922082
